country,region,mountain_id,name,old_live_m,new_runtime_m,audit_suggested_m,base_m,summit_m,status,reason,source_url,checked_at,source_type
"US","north-lake-tahoe","sugar-bowl","Sugar Bowl","1798","2326","2326","2098","2554","matched","Published region elevation agrees with audit","","",""
"US","ogden-valley","nordic-valley","Nordic Valley","1390","1894","1894","1635","2152","matched","Published region elevation agrees with audit","","",""
"US","ogden-valley","snowbasin","Snowbasin","1636","2421","2421","1925","2917","matched","Published region elevation agrees with audit","","",""
"US","okemo","okemo-mountain-resort","Okemo Mountain Resort","297","684","684","349","1019","matched","Published region elevation agrees with audit","","",""
"US","park-city","park-city-mountain","Park City Mountain","1773","2578","2578","2100","3056","matched","Published region elevation agrees with audit","","",""
"US","provo","sundance-mountain-resort","Sundance Mountain Resort","1580","2187","2187","1859","2515","matched","Published region elevation agrees with audit","","",""
"US","south-lake-tahoe","heavenly","Heavenly","1621","2488","2488","1907","3068","matched","Published region elevation agrees with audit","","",""
"US","south-lake-tahoe","homewood-mountain-resort","Homewood Mountain Resort","1614","2150","2150","1899","2401","matched","Published region elevation agrees with audit","","",""
"US","southern-vermont","bromley-mountain","Bromley Mountain","505","798","798","594","1001","matched","Published region elevation agrees with audit","","",""
"US","southern-vermont","stratton-mountain-resort","Stratton","485","876","876","571","1181","matched","Published region elevation agrees with audit","","",""
"US","stowe-smugglers-notch","smugglers-notch","Smugglers' Notch","270","712","712","314","1109","matched","Published region elevation agrees with audit","","",""
"US","stowe-smugglers-notch","stowe-mountain-resort","Stowe Mountain Resort","347","874","874","408","1340","matched","Published region elevation agrees with audit","","",""
"US","summit-county","breckenridge-resort","Breckenridge","2626","3420","3420","2926","3914","matched","Published region elevation agrees with audit","","",""
"US","summit-county","loveland","Loveland","2945","3557","3556","3245","3868","matched","Published region elevation agrees with audit","","",""
"US","bend","hoodoo-ski-area","Hoodoo Ski Area","1213","1582","1582","1427","1737","matched","Published region elevation agrees with audit","","",""
"US","big-bear","snow-valley-mountain-resort","Snow Valley Mountain Resort","1773","2233","2233","2073","2393","matched","Published region elevation agrees with audit","","",""
"US","bighorn-mountains","antelope-butte-mountain-recreation-area","Antelope Butte Mountain Recreation Area","2260","2713","2712","2560","2865","matched","Published region elevation agrees with audit","","",""
"US","boulder-front-range","echo-mountain","Echo Mountain","2763","3155","3154","3063","3246","matched","Published region elevation agrees with audit","","",""
"US","casper","hogadon-basin-ski-area","Hogadon Basin Ski Area","1956","2347","2347","2256","2438","matched","Published region elevation agrees with audit","","",""
"US","cloudcroft","ski-cloudcroft","Ski Cloudcroft","2260","2667","2667","2560","2774","matched","Published region elevation agrees with audit","","",""
"US","cordova","mt-eyak-ski-area","Mt. Eyak Ski Area","100","244","190","122","366","official-correction","Official ski-area homepage: 400ft base, 1200ft top of chairlift; 122/366m.","https://www.mteyak.org/","2026-09-25","resort-operated"
"US","durango","silverton-mountain","Silverton Mountain","2870","3641","3640","3170","4111","matched","Published region elevation agrees with audit","","",""
"US","eastern-oregon","anthony-lakes-mountain-resort","Anthony Lakes Mountain Resort","1864","2301","2301","2164","2438","matched","Published region elevation agrees with audit","","",""
"US","fairbanks","moose-mountain-ski-resort","Moose Mountain Ski Resort","199","410","410","213","606","matched","Published region elevation agrees with audit","","",""
"US","fairbanks","ski-land","Ski Land","337","569","568","396","741","matched","Published region elevation agrees with audit","","",""
"US","fresno-china-peak","china-peak-mountain-resort","China Peak Mountain Resort","1849","2401","2400","2149","2652","matched","Published region elevation agrees with audit","","",""
"US","girdwood","arctic-valley-ski-area","Arctic Valley Ski Area","648","975","975","762","1188","matched","Published region elevation agrees with audit","","",""
"US","girdwood","hilltop-ski-area-and-bike-park","Hilltop Ski Area and Bike Park","103","195","127","150","240","official-correction","Official resort: base 492ft, top 786ft; 150/240m after exact conversion.","https://www.hilltopskiarea.org/the-mountain","2026-09-25","resort-operated"
"US","glenwood-springs","sunlight-mountain-resort","Sunlight Mountain Resort","2103","2710","2710","2403","3016","matched","Published region elevation agrees with audit","","",""
"US","grand-mesa","powderhorn-mountain-resort","Powderhorn Mountain Resort","2199","2751","2750","2499","3002","matched","Published region elevation agrees with audit","","",""
"US","great-falls-showdown","showdown-montana","Showdown Montana","1773","2286","2286","2073","2499","matched","Published region elevation agrees with audit","","",""
"US","helena-great-divide","great-divide-ski-area","Great Divide Ski Area","1510","2006","2006","1777","2234","matched","Published region elevation agrees with audit","","",""
"US","idaho-falls-kelly-canyon","kelly-canyon-resort","Kelly Canyon Resort","1451","1860","1860","1707","2012","matched","Published region elevation agrees with audit","","",""
"US","kern-river","alta-sierra-ski-resort-and-terrain-park","Alta Sierra Ski Resort and Terrain Park","1684","2071","2071","1981","2161","matched","Published region elevation agrees with audit","","",""
"US","laramie-snowy-range","snowy-range-ski-area","Snowy Range Ski Area","2382","2814","2814","2682","2945","matched","Published region elevation agrees with audit","","",""
"US","las-vegas-lee-canyon","lee-canyon","Lee Canyon","2340","2748","2748","2640","2856","matched","Published region elevation agrees with audit","","",""
"US","libby-northwest-montana","turner-mountain-ski-area","Turner Mountain Ski Area","995","1493","1492","1171","1814","matched","Published region elevation agrees with audit","","",""
"US","los-alamos-pajarito","pajarito-mountain-ski-area","Pajarito Mountain Ski Area","2443","2963","2962","2743","3182","matched","Published region elevation agrees with audit","","",""
"US","missoula","montana-snowbowl","Montana Snowbowl","1295","1920","1920","1524","2316","matched","Published region elevation agrees with audit","","",""
"US","north-lake-tahoe","boreal-mountain-california","Boreal Mountain California","1895","2271","2271","2195","2347","matched","Published region elevation agrees with audit","","",""
"US","north-lake-tahoe","donner-ski-ranch","Donner Ski Ranch","1843","2293","2292","2143","2442","matched","Published region elevation agrees with audit","","",""
"US","north-lake-tahoe","granlibakken-tahoe-ski-snowboard-hill","Granlibakken Tahoe Ski & Snowboard Hill","1658","1983","1983","1951","2015","matched","Published region elevation agrees with audit","","",""
"US","north-lake-tahoe","soda-springs-mountain-resort","Soda Springs Mountain Resort","1742","2142","2142","2042","2241","matched","Published region elevation agrees with audit","","",""
"US","olympic-peninsula","hurricane-ridge-ski-snowboard-area","Hurricane Ridge Ski & Snowboard Area","1244","1570","1570","1463","1676","matched","Published region elevation agrees with audit","","",""
"US","pagosa-wolf-creek","wolf-creek-ski-area","Wolf Creek Ski Area","2839","3384","3384","3139","3628","matched","Published region elevation agrees with audit","","",""
"US","park-city","woodward-park-city","Woodward Park City","1684","2058","2058","1981","2134","matched","Published region elevation agrees with audit","","",""
"US","pinedale","white-pine-resort","White Pine Resort","2260","2728","2728","2560","2896","matched","Published region elevation agrees with audit","","",""
"US","pocatello-southeast-idaho","pebble-creek-ski-area","Pebble Creek Ski Area","1648","2274","2274","1939","2609","matched","Published region elevation agrees with audit","","",""
"US","red-river","red-river-ski-summer-area","Red River Ski & Summer Area","2367","2911","2911","2667","3155","matched","Published region elevation agrees with audit","","",""
"US","ruidoso","ski-apache","Ski Apache","2626","3201","3200","2926","3475","matched","Published region elevation agrees with audit","","",""
"US","salida-monarch","monarch-mountain","Monarch Mountain","2990","3460","3460","3290","3630","matched","Published region elevation agrees with audit","","",""
"US","san-gabriel-mountains","mt-baldy-resort","Mt Baldy Resort","1684","2301","2301","1981","2621","matched","Published region elevation agrees with audit","","",""
"US","silver-valley","lookout-pass-ski-and-recreation-area","Lookout Pass Ski and Recreation Area","1166","1624","1624","1372","1875","matched","Published region elevation agrees with audit","","",""
"US","silver-valley","silver-mountain-resort","Silver Mountain Resort","1062","1585","1585","1250","1920","matched","Published region elevation agrees with audit","","",""
"US","sonora-dodge-ridge","dodge-ridge-mountain-resort","Dodge Ridge Mountain Resort","1712","2256","2256","2012","2499","matched","Published region elevation agrees with audit","","",""
"US","southern-idaho-magic-valley","pomerelle-mountain-resort","Pomerelle Mountain Resort","2066","2519","2518","2366","2671","matched","Published region elevation agrees with audit","","",""
"US","southern-oregon","mt-ashland-ski-area","Mt. Ashland Ski Area","1647","2117","2117","1938","2296","matched","Published region elevation agrees with audit","","",""
"US","southern-utah","brian-head-resort","Brian Head Resort","2626","3135","3135","2926","3344","matched","Published region elevation agrees with audit","","",""
"US","southwest-montana-discovery","discovery-ski-area","Discovery Ski Area","1495","2122","2122","1759","2484","matched","Published region elevation agrees with audit","","",""
"US","spokane","49-degrees-north-mountain-resort","49° North Mountain Resort","1016","1482","1482","1195","1768","matched","Published region elevation agrees with audit","","",""
"US","spokane","mt-spokane-ski-snowboard-park","Mt. Spokane Ski & Snowboard Park","1083","1534","1534","1274","1793","matched","Published region elevation agrees with audit","","",""
"US","summit-county","cooper","Cooper","2900","3383","3383","3200","3566","matched","Published region elevation agrees with audit","","",""
"US","sun-valley","soldier-mountain","Soldier Mountain","1491","1971","1971","1754","2188","matched","Published region elevation agrees with audit","","",""
"US","taos","sipapu-ski-summer-resort","Sipapu Ski & Summer Resort","2199","2660","2660","2499","2821","matched","Published region elevation agrees with audit","","",""
"US","tucson-mount-lemmon","mount-lemmon-ski-valley","Mount Lemmon Ski Valley","2229","2660","2660","2529","2791","matched","Published region elevation agrees with audit","","",""
"US","wenatchee","mission-ridge-ski-board-resort","Mission Ridge Ski & Board Resort","1189","1739","1739","1399","2079","matched","Published region elevation agrees with audit","","",""
"US","white-pass","white-pass-ski-area","White Pass Ski Area","1166","1677","1676","1372","1981","matched","Published region elevation agrees with audit","","",""
"US","whitefish","blacktail-mountain-ski-area","Blacktail Mountain Ski Area","1384","1848","1848","1628","2067","matched","Published region elevation agrees with audit","","",""
"US","willamette-pass","willamette-pass-resort","Willamette Pass Resort","1327","1799","1798","1561","2036","matched","Published region elevation agrees with audit","","",""
"US","wrightwood","mountain-high-resorts","Mountain High Resorts","1712","2256","2256","2012","2500","matched","Published region elevation agrees with audit","","",""
"US","yosemite","badger-pass-ski-area","Badger Pass Ski Area","1895","2286","2286","2195","2377","matched","Published region elevation agrees with audit","","",""
"CA","canada-british-columbia","manning-park-resort","Manning Park Resort","1334","1570","1570","1350","1789","matched","Published region elevation agrees with audit","","",""
"CA","canada-manitoba","asessippi-ski-area-and-resort","Asessippi Ski Area & Resort","440","518","518","457","579","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","adanac-ski-hill","Adanac Ski Hill","263","305","305","270","340","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","bethany-ski-resort","Bethany Ski Resort","273","318","318","274","362","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","boler-mountain","Boler Mountain","257","295","295","262","328","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","chicopee","Chicopee","291","342","342","314","370","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","hockley-valley-resort","Hockley Valley Resort","306","360","360","324","396","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","horseshoe-resort","Horseshoe Resort","303","356","356","309","402","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","lakeridge-ski-resort","Lakeridge Ski Resort","287","338","338","300","375","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","mount-chinguacousy-ski-and-snowboard-hill","Mount Chinguacousy Ski and Snowboard Hill","210","228","228","218","237","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","mount-dufour-ski-area","Mount Dufour Ski Area","309","363","363","314","412","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","mount-jamieson-resort","Mount Jamieson Resort","305","359","358","307","410","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","sir-sam-s-ski-ride","Sir Sam's Ski / Ride","343","404","404","360","447","matched","Published region elevation agrees with audit","","",""
"CA","canada-ontario","trestle-ridge-ski-hill","Trestle Ridge Ski Hill","240","271","270","260","281","matched","Published region elevation agrees with audit","","",""
"CA","canada-saskatchewan","duck-mountain-ski-area","Duck Mountain Ski Area","550","647","646","577","716","matched","Published region elevation agrees with audit","","",""
"CA","canada-saskatchewan","table-mountain-regional-park","Table Mountain Regional Park","523","615","614","557","672","matched","Published region elevation agrees with audit","","",""
"CA","canada-saskatchewan","wapiti-valley-regional-park","Wapiti Valley Regional Park","401","472","472","432","511","matched","Published region elevation agrees with audit","","",""
"US","albuquerque-sandia","sandia-peak","Sandia Peak Ski Area","2330","2630","","2630","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ct","mount-southington","Mount Southington Ski Area","100","60","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ct","powder-ridge-ct","Powder Ridge Mountain Park & Resort","131","116","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ct","ski-sundown","Ski Sundown","156","152","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ia","mt-crescent-ski-area","Mt. Crescent Ski Area","281","330","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ia","seven-oaks-recreation","Seven Oaks Recreation","235","264","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ia","sundown-mountain-resort","Sundown Mountain Resort","296","348","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-il","chestnut-mountain-resort","Chestnut Mountain Resort","268","311","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-il","villa-olivia","Villa Olivia","226","252","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-in","paoli-peaks","Paoli Peaks","221","245","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-in","perfect-north-slopes","Perfect North Slopes","159","156","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ma","blue-hills-ski-area","Blue Hills Ski Area","107","82","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ma","bousquet-mountain","Bousquet Mountain","291","342","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ma","nashoba-valley","Nashoba Valley Ski Area","100","60","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ma","otis-ridge","Otis Ridge Ski Area","322","379","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ma","ski-bradford","Ski Bradford","100","14","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ma","ski-ward","Ski Ward","124","106","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-md","wisp-resort","Wisp Resort","655","771","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-me","big-moose-mountain","Big Moose Mountain","436","513","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-me","bigrock-mountain","BigRock Mountain","168","168","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-me","black-mountain-of-maine","Black Mountain of Maine","254","292","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-me","camden-snow-bowl","Camden Snow Bowl","100","70","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-me","lost-valley","Lost Valley","132","117","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-me","mount-abram","Mt. Abram","252","289","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-me","pleasant-mountain","Pleasant Mountain","161","159","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-me","titcomb-mountain","Titcomb Mountain","136","123","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","alpine-valley-mi","Alpine Valley Ski Area","246","280","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","big-powderhorn-mountain","Big Powderhorn Mountain Resort","385","453","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","bittersweet-ski-resort","Bittersweet Ski Resort","201","216","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","caberfae-peaks","Caberfae Peaks","319","375","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","cannonsburg-ski-area","Cannonsburg Ski Area","208","226","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","crystal-mountain-mi","Crystal Mountain Resort","258","297","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","hickory-hills","Hickory Hills Ski Area","181","187","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","marquette-mountain","Marquette Mountain Resort","178","183","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","mont-ripley","Mont Ripley Ski Area","219","242","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","mount-brighton","Mt Brighton","247","281","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","mount-holiday","Mt. Holiday","203","219","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","mount-holly","Mt. Holly Ski Resort","261","302","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","mount-mcsauba","Mt. McSauba Recreation Area","182","188","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","mount-zion-ski-hill","Mt. Zion Ski Hill","385","453","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","norway-mountain","Norway Mountain","309","364","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","otsego-resort","Otsego Resort","347","408","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","petoskey-winter-sports-park","Petoskey Winter Sports Park","205","222","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","pine-knob-ski-resort","Pine Knob Ski Resort","278","326","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","pine-mountain-resort-mi","Pine Mountain Resort","292","344","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","porcupine-mountains-ski-area","Porcupine Mountains Ski Area","189","199","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","shanty-creek-resorts","Shanty Creek Resorts","177","181","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","ski-brule","Ski Brule","426","501","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","snow-snake","Snow Snake Ski & Golf","297","349","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","snowriver-mountain-resort","Snowriver Mountain Resort","331","389","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","swiss-valley","Swiss Valley Ski & Snowboard Area","244","277","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","the-homestead-mi","The Homestead","177","182","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","timber-ridge-ski-area-mi","Timber Ridge Ski Area","224","248","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mi","treetops-resort","Treetops Resort","340","400","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","afton-alps-mn","Afton Alps","205","221","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","andes-tower-hills-mn","Andes Tower Hills","373","439","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","buck-hill-mn","Buck Hill","260","300","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","buena-vista-ski-area-mn","Buena Vista Ski Area","384","452","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","coffee-mill-ski-area-mn","Coffee Mill Ski Area","229","255","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","detroit-mountain-mn","Detroit Mountain Recreation Area","424","499","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","giants-ridge-mn","Giants Ridge","392","461","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","hyland-hills-ski-area-mn","Hyland Hills Ski Area","236","266","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","mount-kato-mn","Mount Kato","263","305","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","powder-ridge-mn","Powder Ridge","323","380","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","spirit-mountain-mn","Spirit Mountain","251","287","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","welch-village-mn","Welch Village","264","306","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-mn","wild-mountain-mn","Wild Mountain","216","237","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nc","appalachian-ski-mountain","Appalachian Ski Mountain","947","1114","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nc","hatley-pointe","Hatley Pointe","1033","1215","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nh","black-mountain-nh","Black Mountain","326","384","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nh","crotched-mountain","Crotched Mountain","274","320","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nh","dartmouth-skiway","Dartmouth Skiway","256","294","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nh","king-pine","King Pine Ski Area","153","147","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nh","mount-sunapee","Mount Sunapee Resort","330","388","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nh","pats-peak","Pats Peak","172","174","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nh","ragged-mountain-nh","Ragged Mountain Resort","289","340","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nh","tenney-mountain","Tenney Mountain Resort","513","604","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-nh","whaleback-mountain","Whaleback Mountain","296","348","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","bristol-mountain","Bristol Mountain","294","346","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","catamount-mountain-resort","Catamount Mountain Resort","275","322","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","greek-peak","Greek Peak Mountain Resort","348","410","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","holiday-mountain-ny","Holiday Mountain","381","448","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","holiday-valley","Holiday Valley","415","488","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","kissing-bridge","Kissing Bridge","319","375","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","labrador-mountain","Labrador Mountain","400","470","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","mccauley-mountain","McCauley Mountain Ski Area","450","530","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","mount-peter","Mount Peter Ski Area","197","210","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","peek-n-peak","Peek'n Peak Resort","366","430","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","plattekill-mountain","Plattekill Mountain","626","737","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","snow-ridge","Snow Ridge Ski Resort","494","581","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","song-mountain","Song Mountain","328","386","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","swain-resort","Swain Resort","473","556","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","thunder-ridge","Thunder Ridge Ski Area","185","193","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","titus-mountain","Titus Mountain Family Ski Center","166","166","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","west-mountain","West Mountain","123","104","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-ny","willard-mountain","Willard Mountain","484","569","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-oh","alpine-valley-ohio","Alpine Valley","296","348","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-oh","boston-mills-brandywine","Boston Mills Brandywine","191","201","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-oh","mad-river-mountain","Mad River Mountain","305","359","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
"US","us-oh","snow-trails","Snow Trails","320","376","","","","matched","Audit has no suggested replacement; published pin/base retained without guessing a summit","","",""
