"exclusion_group","record_id","workbook_no","name","name_ja","prefecture","municipality","travel_region","base_town","review_status","missing_essentials","official_url","status_evidence_url","evidence_as_of","review_notes"
"unclear_status_pending_authoritative_evidence","workbook:509","509","Nigorigo Onsen","","Gifu","Shirakawa","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No current official operating-status or closure evidence located.

Pass 4: Rechecked Takayama/Gero public records and operator-calendar terms for Nigorigo; no dated ski operation or closure notice was found."
"unclear_status_pending_authoritative_evidence","workbook:533","533","Hidanorikura Pentapia Snow World","","Gifu","Takayama","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No current official operating-status or closure evidence located.

Pass 4: Rechecked Takayama municipal sources and operator/trail-map terms; no authoritative current or closure status was found."
"unclear_status_pending_authoritative_evidence","workbook:539","539","Kasuga Chojadaira","","Gifu","Gujo","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","Only non-official historical closure references were located; official closure evidence was not found.

Pass 4: Rechecked Gifu public records and closure terms for Kasuga Chojadaira; no official closure notice was located."
"unclear_status_pending_authoritative_evidence","workbook:543","543","Shirotori Snow Resort","","Gifu","Gujo","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","Name may refer to a former or alternate Shiratori-area facility, but a defensible identity match was not established.

Pass 4: Rechecked Shiratori-area municipal records and operator-company sources; no exact identity match supports a status decision."
"unclear_status_pending_authoritative_evidence","workbook:522","522","Hotaka Olympia","","Gunma","Minakami","","","unclear","missing_coordinates; missing_japanese_name; missing_official_url","","","2026-08-26","Historical sources report closure in 2001; no official source found in this review, and it must not be confused with operating Ogna Hotaka.

Pass 4: Rechecked Numata/Gunma public records and closure terms while distinguishing Ogna Hotaka; no official closure notice for Hotaka Olympia was found."
"unclear_status_pending_authoritative_evidence","workbook:316","316","Geihoku Kokusai","芸北国際スキー場","Hiroshima","Kitahiroshima","","","unclear","","https://www.facebook.com/geihokukokusai/","","2026-08-26","No accessible official current-season evidence was found. A social profile alone is insufficient to determine whether the ski area is operating or closed.

Pass 4: Rechecked operator-company and municipal sources plus season/ticket terms; no accessible dated official operation notice was found."
"unclear_status_pending_authoritative_evidence","workbook:347","347","Snow Resort Nekoyama","スノーリゾート猫山","Hiroshima","Akitakata","","","unclear","","http://nekoyama.net/win/","","2026-08-26","The candidate winter URL did not yield current/recent official operating evidence in search; no status conclusion was drawn.

Pass 4: Rechecked Nekoyama operator/calendar sources and municipal material; no qualifying dated operation notice was found."
"unclear_status_pending_authoritative_evidence","workbook:374","374","Ringo Kyowakoku","","Hiroshima","Akitakata","","","unclear","missing_japanese_name; missing_official_url","","","2026-08-26","No operator website or municipal current-season operating notice was found for the conditionally opened facility.

Pass 4: Rechecked Hiroshima municipal sports/facility records and closure terms; no authoritative status evidence was found."
"unclear_status_pending_authoritative_evidence","workbook:465","465","Kyukamura Azumayama","","Hiroshima","Kitahiroshima","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No current official lift, ticket, calendar, or explicit closure source was captured.

Pass 4: Rechecked Kyukamura and Shobara public materials, trail/lift terms, and closure notices; no authoritative ski status was found."
"unclear_status_pending_authoritative_evidence","workbook:482","482","Takano Kogen","","Hiroshima","Akitakata","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current operating or closure evidence was found; the intake municipality assignment is not reliable enough to resolve identity.

Pass 4: Rechecked Hiroshima municipal sport-facility registers and closure terms; no authoritative exact-identity or status evidence was found."
"unclear_status_pending_authoritative_evidence","workbook:517","517","Takaobara","","Hiroshima","Akitakata","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","Historical third-party material suggests closure, but no official/operator or municipal closure source was captured, so status remains unclear.

Pass 4: Rechecked Hiroshima municipal records and official closure terminology for Takaobara; no authoritative exact-identity closure source was found."
"unclear_status_pending_authoritative_evidence","workbook:536","536","Shinnyuzan Ikoinomura","","Hiroshima","Kitahiroshima","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name","https://www.hotel-bismarck.com/?utm_source=Skiresort_de&utm_medium=cpc&utm_campaign=Skiresort_de","","2026-08-26","No authoritative current ski operation or closure evidence was found; the source candidate URL is unrelated.

Pass 4: Rechecked Hiroshima municipal facility/council sources and closure terms; no authoritative ski-operation or closure record was found."
"unclear_status_pending_authoritative_evidence","workbook:537","537","Samubiki Ski Park","","Hiroshima","Akitakata","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","Historical third-party material suggests this may be Ski Park Kanbiki and closed, but no authoritative exact-identity/closure source was captured.

Pass 4: Rechecked Hiroshima municipal sources and Kanbiki identity/closure variants; no authoritative exact-identity closure source was found."
"unclear_status_pending_authoritative_evidence","workbook:558","558","Mominoki Shinrin Koen","","Hiroshima","Miyoshi","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name","https://mominoki-shinrinkoen.jp/","https://mominoki-shinrinkoen.jp/","2026-08-26","The park's official site is current, but no evidence of current lift-served ski-area operation was captured; park operation is not ski-area operation. Intake Miyoshi assignment is questionable.

Pass 4: Rechecked Mominoki park operator and Hiroshima public facility sources; park operation does not establish lift-served skiing and no ski-status notice was found."
"unclear_status_pending_authoritative_evidence","workbook:163","163","Daisetsuzan Asahidake Ropeway Ski Course","旭岳スキーコース","Hokkaido","Higashikawa","","","unclear","","http://asahidake.hokkaido.jp/","https://www.welcome-higashikawa.jp/%e3%80%90%e3%81%8a%e7%9f%a5%e3%82%89%e3%81%9b%e3%80%91%e6%97%ad%e5%b2%b3%e3%83%ad%e3%83%bc%e3%83%97%e3%82%a6%e3%82%a7%e3%82%a4%e3%80%8012%e6%9c%8811%e6%97%a5%ef%bc%88%e6%9c%a8%ef%bc%89%e3%82%88/","2026-08-26","Candidate official URL found, but no sufficiently current operating-status statement was confirmed.

Pass 4: Higashikawa's official tourism guide explicitly announces winter 2025-26 ropeway resumption and groomed ski-course use; no 2026-27 notice was located."
"verified_operating_missing_essentials","workbook:1a","1a","Niseko Tokyu Grand HIRAFU","ニセコ東急 グラン・ヒラフ","Hokkaido","Kutchan","niseko","kutchan","verified_operating","missing_coordinates; missing_defensible_elevation","https://www.grand-hirafu.jp/","https://www.niseko.ne.jp/en/lift/","2026-08-26","Official current/recent-season evidence supports continued operation."
"verified_operating_missing_essentials","workbook:1b","1b","Niseko Village Ski Resort","ニセコビレッジスキーリゾート","Hokkaido","Niseko","niseko","grand-hirafu","verified_operating","missing_coordinates; missing_defensible_elevation","https://www.niseko-village.com/","https://www.niseko.ne.jp/en/lift/","2026-08-26","Official current/recent-season evidence supports continued operation."
"verified_operating_missing_essentials","workbook:1c","1c","Niseko Annupuri International Ski Area","ニセコアンヌプリ国際スキー場","Hokkaido","Niseko","niseko","grand-hirafu","verified_operating","missing_coordinates; missing_defensible_elevation","https://annupuri.info/","https://www.niseko.ne.jp/en/lift/","2026-08-26","Official current/recent-season evidence supports continued operation."
"verified_operating_missing_essentials","workbook:1d","1d","Niseko Hanazono Resort","ニセコHANAZONOリゾート","Hokkaido","Kutchan","niseko","kutchan","verified_operating","missing_coordinates; missing_defensible_elevation","https://hanazononiseko.com/","https://www.niseko.ne.jp/en/lift/","2026-08-26","Official current/recent-season evidence supports continued operation."
"unclear_status_pending_authoritative_evidence","workbook:238","238","Shibetsu Municipal Kanayama Ski Area","標津町営金山スキー場","Hokkaido","Suttsu","","","unclear","missing_official_url","","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Searched the municipal facility name with 標津町, 令和8年, 営業, 休止, 廃止, and council/register terms. No dated primary-source operating or closure notice was retained."
"unclear_status_pending_authoritative_evidence","workbook:244","244","Katsurazawa Kokusetsu Ski Area","桂沢国設スキー場","Hokkaido","Kamikawa","","","unclear","","https://www.hotel-bismarck.com/?utm_source=Skiresort_de&utm_medium=cpc&utm_campaign=Skiresort_de","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Searched Mikasa City facility/council pages and Japanese 2025-26/2026-27 operation, closure, and trail-map terms. No qualifying municipal or operator season statement was retained."
"unclear_status_pending_authoritative_evidence","workbook:247","247","Bibai Kokusetsu Ski Area","美唄国設スキー場","Hokkaido","Bibai","","","unclear","","https://www.city.bibai.hokkaido.jp/soshiki/13/23846.html","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Bibai City's ski-area improvement plan describes the facility and its renewal planning, but is not a dated current operating statement. Searches of city notices, operator pages, and 2026-27 tickets did not retain qualifying seasonal evidence."
"unclear_status_pending_authoritative_evidence","workbook:261","261","Daisetsuzan Sounkyo Kurodake Ski Area","大雪山黒岳スキー場","Hokkaido","Kamikawa","","","unclear","","https://www.rinyu.co.jp/kurodake/","","2026-08-26","Candidate official URL found, but no sufficiently current operating-status statement was confirmed.

Pass 4: Searched Rinyu Kanko/operator notices, 2025-26 and 2026-27 winter lift calendars, and official trail-map/PDF terms. No dated source expressly confirming ski-area operation was retained."
"unclear_status_pending_authoritative_evidence","workbook:286","286","ASHIMOI KANKO Takaho Ski Area","ASHIMOI KANKO高穂スキー場","Hokkaido","Numata","","","unclear","missing_official_url","","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Searched Numata Town, operator/company, official ticket-calendar, and 令和8年 operating/closure terms. No qualifying primary-source status statement was retained."
"unclear_status_pending_authoritative_evidence","workbook:288","288","Akan Lake Ski Area Utara","国設阿寒湖畔スキー場【ウタラ】","Hokkaido","Akan","","","unclear","","https://akan-ski.com/","","2026-08-26","Candidate official URL found, but no sufficiently current operating-status statement was confirmed.

Pass 4: Searched operator, Kushiro municipal, and 2025-26/2026-27 lift-calendar and closure terms. No dated official source explicitly establishing the ski season was retained."
"unclear_status_pending_authoritative_evidence","workbook:297","297","Monbetsu Municipal Oyama Ski Area","紋別市営大山スキー場","Hokkaido","Monbetsu","","","unclear","missing_official_url","","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Searched Monbetsu City facility register, budget/council materials, and Japanese 2025-26/2026-27 operation and closure terms. No dated municipal/operator notice was retained."
"unclear_status_pending_authoritative_evidence","workbook:365","365","Tobetsucho Nakagoya","","Hokkaido","Tobetsu","","","unclear","missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Fourth pass checked the Tobetsu ordinance register and searched municipal abolition, budget, and facility-register material. The ordinance remains published but is not an explicit current operating notice; no qualifying closure or current-season statement was located."
"unclear_status_pending_authoritative_evidence","workbook:366","366","Orofure","弁景温泉オロフレスキー場","Hokkaido","Noboribetsu","","","unclear","","https://orofure.web.fc2.com/","","2026-08-26","Candidate official URL found, but no sufficiently current operating-status statement was confirmed.

Pass 4: Searched Sobetsu municipal pages, operator-company material, and 2025-26/2026 operation, closure, and budget terms for Orofure. No authoritative operator or municipal operational-status notice was located; a regional news report was not used for promotion."
"verified_operating_missing_essentials","workbook:367","367","Higashigaoka Ski Area","東ヶ丘スキー場","Hokkaido","Horonobeecho","hokkaido-regional","hokkaido-regional-horonobeecho","verified_operating","missing_coordinates; missing_defensible_elevation","https://www.town.horonobe.lg.jp/www4/section/edu/le009f0000001go7.html","https://www.town.horonobe.lg.jp/www4/section/edu/le009f0000001go7.html","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted."
"unclear_status_pending_authoritative_evidence","workbook:388","388","Kita-Taisetsu – Hokudaiyuki","","Hokkaido","Kamikawa","","","unclear","missing_japanese_name","http://tengucat.jp/","","2026-08-26","Candidate official URL found, but no sufficiently current operating-status statement was confirmed.

Pass 4: Searched 北大雪スキー場 / Kita-Taisetsu with 2025-26 operation, lift, ticket, closure, and government-register terms. Results were directory material only; no qualifying operator, municipality, or government status source was located."
"unclear_status_pending_authoritative_evidence","workbook:428","428","Inosawashimin","","Hokkaido","Rankoshi","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: The Asahikawa municipal facility page gives the customary December-to-February period but was last updated in 2016. Searches of the named operator and municipal pages found no explicit 2025-26/2026 operation or closure notice."
"unclear_status_pending_authoritative_evidence","workbook:434","434","Atsutamura","","Hokkaido","Atsuta","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Fourth pass searched Ishikari municipal facility registers, public-facility management documents, council/budget material, and closure terms for Atsutamura. No authoritative statement identifying its current operation, closure, or successor was located."
"verified_operating_missing_essentials","workbook:438","438","Minamigaoka Ski Area","置戸町南ヶ丘スキー場","Hokkaido","Oketo","hokkaido-regional","hokkaido-regional-oketo","verified_operating","missing_defensible_elevation","https://www.town.oketo.hokkaido.jp/kyouiku_bunka/shakai/minamigaokaski/","https://www.town.oketo.hokkaido.jp/kyouiku_bunka/shakai/minamigaokaski/","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted."
"unclear_status_pending_authoritative_evidence","workbook:441","441","Sharicho Unabetsu","","Hokkaido","Shari","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Shari's facility page was updated January 5, 2026 and gives normal use-period, lift, and ticket information, but does not explicitly say the 2025-26 facility opened or operated. No municipal current-season opening/closure notice was found, so operation is not inferred."
"unclear_status_pending_authoritative_evidence","workbook:445","445","Hamamasu Sonmin","","Hokkaido","Hamamasu","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Searched Ishikari municipal regional-council records, public-facility plans, budget material, and explicit closure terms for Hamamasu Sonmin. No current authoritative facility status or successor notice was located."
"verified_operating_missing_essentials","workbook:447","447","Boyodai Ski Area","望洋台スキー場","Hokkaido","Obira","hokkaido-regional","hokkaido-regional-obira","verified_operating","missing_defensible_elevation","https://www.town.obira.hokkaido.jp/kanko/detail/00001389.html","https://www.town.obira.hokkaido.jp/kanko/detail/00001389.html","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Obira Town's dated March 2, 2026 notice confirms operation; its general invitation for next season is not a 2026-27 operating notice."
"verified_operating_missing_essentials","workbook:449","449","Teshio Town Citizens Ski Area","天塩町町民スキー場","Hokkaido","Teshio","hokkaido-regional","hokkaido-regional-teshio","verified_operating","missing_defensible_elevation","https://www.teshiotown.hokkaido.jp/?page_id=636","https://www.teshiotown.hokkaido.jp/?page_id=636","2026-08-26","Candidate official URL found, but no sufficiently current operating-status statement was confirmed.

Pass 4: The town's January 2026 facility page links its fiscal-2025 operating calendar and lists lift tickets; no 2026-27 notice was found."
"unclear_status_pending_authoritative_evidence","workbook:456","456","Shirogane Ski Highland","","Hokkaido","Biei","","","unclear","missing_coordinates; missing_defensible_elevation; missing_japanese_name; missing_official_url","","","2026-08-26","No authoritative current operating-status source was confirmed; third-party evidence was not accepted.

Pass 4: Searched Biei municipal sports-facility registers, public-facility planning material, and 白金スキー場 closure terms. The current municipal sports register did not provide a qualifying current status for this historical-name record."
