address,amenities,booking_links.agoda,booking_links.airbnb,booking_links.booking_com,booking_links.expedia,booking_links.jalan,booking_links.official,booking_links.rakuten,check_in,check_out,country,distance_to_perisher_km,distance_to_skitube_km,distance_to_thredbo_km,drive_min_to_each_mountain.charlotte_pass,drive_min_to_each_mountain.kita_shiga_kogen,drive_min_to_each_mountain.kita_shiga_komaruyama,drive_min_to_each_mountain.okushiga_kogen,drive_min_to_each_mountain.perisher,drive_min_to_each_mountain.perisher_via_oversnow,drive_min_to_each_mountain.perisher_via_skitube,drive_min_to_each_mountain.ryuoo,drive_min_to_each_mountain.ryuoo_ski_park,drive_min_to_each_mountain.shiga_kogen,drive_min_to_each_mountain.shiga_kogen_hasuike,drive_min_to_each_mountain.shiga_kogen_main_area,drive_min_to_each_mountain.shiga_kogen_okushiga,drive_min_to_each_mountain.thredbo,drive_min_to_each_mountain.xjam_takai_fuji,drive_min_to_each_mountain.yakebitai,drive_min_to_each_mountain.yomase_mount_jeans,drive_min_to_each_mountain.yomase_onsen,drive_min_to_each_mountain.yomase_onsen_xjam,drive_min_to_nearest_mountain,drying_room,english_spoken,id,lat,lng,long_description,meal_plan,name,name_local,nearest_mountain,notes,onsen,pet_friendly,phone,photos,price_band,region,room_count,self_contained,short_description,ski_storage,source_urls,tattoo_policy,town,type,walk_min_to_yudanaka_station,website,yukata_provided
"10 Clyde Street, Jindabyne NSW 2627","drying room | free continental breakfast | recreation room with fireplace | communal kitchen facilities (microwave, fridge) | billiards | sun terrace | BBQ facilities | laundry service | free wifi | free parking | flat screen TV | ensuite (select rooms) | shared bathrooms",https://www.agoda.com/search?q=Kookaburra+Lodge+Jindabyne,,https://www.booking.com/hotel/au/kookaburra-lodge-jindabyne.html,https://www.expedia.com.au/Hotel-Search?destination=Kookaburra+Lodge+Jindabyne,,https://www.kookaburraskilodge.net.au,,14:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,kookaburra-lodge,-36.4152,148.6138,"Kookaburra Lodge on Clyde Street is consistently rated the best budget accommodation in the Snowy Mountains. The newly renovated property has 12 rooms ranging from motel-style ensuite doubles to dorm-style bunks, with all linen provided. A drying room is a major ski-season asset, and the communal recreation room has tea/coffee facilities, microwave, fridge, TV, lounge and fireplace. Continental breakfast is included, and the town centre is a short stroll away.",,Kookaburra Lodge,,Perisher,,,no,,,$,snowy_mountains,12,no,"Best-value lodge in Jindabyne – renovated 12-room property with drying room, free breakfast and walking distance to town.",yes,https://www.kookaburraskilodge.net.au | https://www.booking.com/hotel/au/kookaburra-lodge-jindabyne.html | https://www.tripadvisor.com/Hotel_Review-g261617-d6943211-Reviews-Kookaburra_Lodge-Jindabyne_New_South_Wales.html,,jindabyne,hostel,,https://www.kookaburraskilodge.net.au,
"67 Gippsland Street, Jindabyne NSW 2627",sauna | open fireplace | billiards table | games room | BBQ facilities | large balcony | continental breakfast included | free wifi | free parking | TV/DVD | Netflix | ski storage | drying room | ensuite (select rooms),https://www.agoda.com/search?q=Chalet+Jindabyne,,https://www.booking.com/searchresults.html?ss=Chalet+Jindabyne,https://www.expedia.com.au/Hotel-Search?destination=Chalet+Jindabyne,,https://chaletjindabyne.com,,15:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,30,,,,,,28,yes,yes,chalet-jindabyne,-36.421,148.615,"Chalet Jindabyne is a local, family-run ski lodge occupying three storeys and 720sqm of mountain living space. Thirteen rooms (10 ensuite, 3 shared bathroom) spread across family and twin configurations, and guests enjoy a sauna, billiards table, large balcony with BBQ, and cosy open fire in the lounge. The continental breakfast is buffet-style, Netflix is available in the TV lounge, and the 2-minute drive to Lake Jindabyne and 30-minute drive to Thredbo or Perisher make it a reliable mid-range ski base.",,Chalet Jindabyne,,Perisher,,,no,+61 2 6456 2064,,$$,snowy_mountains,13,no,"Family-owned 13-room ski lodge on Gippsland Street with sauna, fireplace, billiards and continental breakfast included.",yes,https://chaletjindabyne.com | https://au.hotels.com/ho514359/,,jindabyne,lodge,,https://chaletjindabyne.com,
"16 Nettin Circuit, Jindabyne NSW 2627",restaurant/bar (seasonal) | ski storage | free parking | wheelchair access | games room | guest laundry | free wifi | lake views | mountain views | free breakfast (winter),https://www.agoda.com/search?q=Panorama+Jindabyne,,https://www.booking.com/searchresults.html?ss=Panorama+Jindabyne,https://www.expedia.com.au/Hotel-Search?destination=Panorama+Jindabyne,,https://panoramajindabyne.com.au,,15:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,panorama-jindabyne,-36.4168,148.6095,"Panorama Jindabyne sits on Nettin Circuit with unobstructed views over Lake Jindabyne and the surrounding mountain ranges. The 25 air-conditioned rooms span budget to lake-view premium options, and a three-bedroom apartment is available in winter. Breakfast is included during winter. The on-site restaurant and bar operates seasonally, and ski storage is available. Off-street parking and wheelchair-accessible rooms are also offered.",,Panorama Jindabyne,,Perisher,,,no,+61 2 6456 2918,,$$,snowy_mountains,25,no,Motel with 25 rooms and sweeping Snowy Mountains and lake panoramas; seasonal restaurant/bar and ski storage on site.,yes,https://panoramajindabyne.com.au | https://www.tripadvisor.com/Hotel_Review-g261617-d4378131-Reviews-Horizons_Lake_Jindabyne-Jindabyne_New_South_Wales.html,,jindabyne,hotel,,https://panoramajindabyne.com.au,
"56 Jerrara Drive, Jindabyne NSW 2627",restaurant/bistro | bar | spa bath | ski equipment rental | games room | pool table | balcony (all rooms) | lake views | free parking | free wifi | flat screen TV | playground | continental/buffet breakfast,https://www.agoda.com/search?q=Siesta+Villa+Jindabyne,,https://www.booking.com/hotel/au/siesta-villa.html,https://www.expedia.com.au/Hotel-Search?destination=Siesta+Villa+Jindabyne,,,,15:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,siesta-villa,-36.422,148.631,"Siesta Villa is a 3-star motel located on Jerrara Drive with 31 rooms, all featuring balconies and lake views. The property includes a restaurant and bar (Lakeside Bistro & Bar), spa bath, on-site ski rental, and a games room with pool table. Under new management as of recent years, it represents good value for families and couples seeking a quieter lakeside setting away from the main strip.",,Siesta Villa Motel,,Perisher,,,no,+61 2 6456 7146,,$$,snowy_mountains,31,no,"31-room lakeside motel on Jerrara Drive with spa bath, on-site bistro and ski equipment rental, 3km from town centre.",yes,https://www.tripadvisor.com/Hotel_Review-g261617-d4378131-Reviews-Horizons_Lake_Jindabyne-Jindabyne_New_South_Wales.html | https://www.booking.com/hotel/au/siesta-villa.html,,jindabyne,hotel,,,
"82 Carinya Lane, Jindabyne NSW 2627",restaurant | conference facilities | ski gear storage | garden | picnic area | games/arcade room | laundry facilities | luggage storage | free wifi | mini fridge | free bottled water,https://www.agoda.com/search?q=Carinya+Village+Jindabyne,,https://www.booking.com/searchresults.html?ss=Carinya+Village+Jindabyne,https://www.expedia.com.au/Hotel-Search?destination=Carinya+Village+Jindabyne,,https://www.carinyavillage.com.au,,16:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,carinya-village-jindabyne,-36.425,148.602,"Carinya Village is a boutique mountain lodge set on Carinya Lane, offering 15 individually furnished rooms in a tranquil setting. The property includes a restaurant, conference facilities, ski gear storage, guest garden and picnic area. Check-in is from 4pm and limited to guests over 18, making it better suited to couples and corporate groups. Built in 1979, the traditional mountain architecture and garden setting provide a genuine alpine feel.",,Carinya Village Jindabyne,,Perisher,,,no,,,$$,snowy_mountains,15,no,"Secluded 15-room mountain lodge on 14km-from-slopes lake access with restaurant, conference rooms and traditional architecture.",yes,https://www.travelocity.com/Jindabyne-Hotels-Carinya-Village-Jindabyne.h9627589.Hotel-Information | https://au.hotels.com/ho514140/carinya-village-jindabyne-jindabyne-australia/,,jindabyne,lodge,,https://www.carinyavillage.com.au,
"Crackenback Valley, Crackenback NSW 2627",restaurant (French country-farmhouse) | bar | open fireplace | private lounge for in-house guests | games room | country cooked breakfast included | free wifi | free parking | garden | massage services,https://www.agoda.com/search?q=Crackenback+Farm+Guesthouse,,https://www.booking.com/hotel/au/crackenback-farm-guesthouse.html,https://www.expedia.com.au/Hotel-Search?destination=Crackenback+Farm+Guesthouse,,https://www.crackenback.com,,14:00,10:00,AU,18,8,20,40,,,,,,10,,,,,,,18,,,,,,10,yes,yes,crackenback-farm-guesthouse,-36.453,148.493,"Designed by Glenn Murcutt and set in the Crackenback Valley five minutes from Jindabyne, this intimate guesthouse has six beautifully appointed rooms, each with a queen bed and private bathroom, with cooked country breakfast included. The French country-farmhouse restaurant has a cathedral ceiling, an open fireplace, and a well-curated wine list – and draws accolades for some of the best food in the Snowy Mountains. Less than 10 minutes from Bullocks Flat Skitube terminal and 20 minutes from Thredbo Village.",,Crackenback Farm Restaurant & Guesthouse,,Perisher (via Skitube),,,,+61 2 6456 2601,,$$$,snowy_mountains,6,no,"Award-winning 6-room boutique guesthouse by Glenn Murcutt, 5 min from Jindabyne with acclaimed French country restaurant and ski valley views.",yes,https://www.crackenback.com | https://www.tripadvisor.com/Hotel_Review-g1858103-d1216485-Reviews-Crackenback_Farm_Restaurant_Guesthouse-Crackenback_New_South_Wales.html | https://www.booking.com/hotel/au/crackenback-farm-guesthouse.html,,jindabyne,lodge,,https://www.crackenback.com,
"1 Jerrara Drive, East Jindabyne NSW 2627",free wifi | free parking | laundry | mini fridge | microwave | toaster oven | rainfall shower | hair dryer | lake proximity,https://www.agoda.com/search?q=Alps+Lakeview+Lodge+Jindabyne,https://www.airbnb.com.au/s/East-Jindabyne--NSW/homes?query=Alps+Lakeview+Lodge,https://www.booking.com/searchresults.html?ss=Alps+Lakeview+Lodge+Jindabyne,https://www.expedia.com/East-Jindabyne-Hotels-Alps-Lakeview-Lodge.h91315862.Hotel-Information,,,,,,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,,yes,alps-lakeview-lodge,-36.4195,148.6295,"Formerly known as East Lake Travellers Lodge, Alps Lakeview Lodge sits on Jerrara Drive in East Jindabyne within 500m of Lake Jindabyne. The property offers budget-friendly rooms with mini-fridges, microwaves and toaster ovens, making it popular with self-sufficient ski groups. Free WiFi, parking and laundry facilities are available, and the lake foreshore path provides direct access to the main town area without needing to drive.",,Alps Lakeview Lodge,,Perisher,,,no,,,$,snowy_mountains,,yes,"Budget lakeside lodge in East Jindabyne with self-catering rooms, free parking and lake proximity.",,https://www.expedia.com/East-Jindabyne-Hotels-Alps-Lakeview-Lodge.h91315862.Hotel-Information | https://www.tripadvisor.com/Hotel_Review-g25280574-d23161944-Reviews-Alps_Lakeview_Lodge-East_Jindabyne_New_South_Wales.html,,jindabyne,lodge,,,
Jindabyne NSW 2627,full kitchen | lounge/dining area | laundry facilities | ski storage | free parking | free wifi,https://www.agoda.com/search?q=Snow+Ski+Apartments+Jindabyne,https://www.airbnb.com.au/s/Jindabyne--NSW/homes?query=snow+ski+apartments,https://www.booking.com/searchresults.html?ss=Snow+Ski+Apartments+Jindabyne,https://www.expedia.com.au/Hotel-Search?destination=Snow+Ski+Apartments+Jindabyne,,https://jindabyneskiaccommodation.com.au,,15:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,snow-ski-apartments-jindabyne,-36.416,148.612,"Snow Ski Apartments Jindabyne provides a range of self-contained apartments in Jindabyne town, ideal for ski groups who prefer the flexibility of cooking their own meals. Properties typically feature fully equipped kitchens, separate living areas, laundry facilities and ski storage, with the town's supermarkets, restaurants and ski hire shops within walking distance. Booking is managed through the Jindabyne Ski Accommodation platform.",,Snow Ski Apartments – Jindabyne,,Perisher,,,,,,$$,snowy_mountains,,yes,"Self-contained ski apartments in central Jindabyne, offering affordable self-catering accommodation for ski groups.",yes,https://jindabyneskiaccommodation.com.au,,jindabyne,apartment,,https://jindabyneskiaccommodation.com.au,
Jindabyne NSW 2627,shared bathrooms | free wifi | common area | free parking,https://www.agoda.com/search?q=Snowy+Valley+Jindabyne,,https://www.booking.com/searchresults.html?ss=Snowy+Valley+Jindabyne,https://www.expedia.com.au/Hotel-Search?destination=Snowy+Valley+Jindabyne,,,,,,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,,yes,snowy-valley-jindabyne,-36.416,148.61,Snowy Valley Jindabyne offers share-room dormitory-style accommodation for budget-conscious ski travellers. Rooms typically sleep 4–5 people and share bathroom facilities. The property is walking distance to the ski hire and supermarkets in town. Basic but functional for those whose priority is spending their money on the mountain rather than the accommodation.,,Snowy Valley Jindabyne,,Perisher,,,,,,$,snowy_mountains,,no,"Budget shared-room accommodation in Jindabyne, popular with ski groups looking for the lowest-cost base option.",,https://www.tripadvisor.com/HotelsList-Jindabyne-Ski-Hotels-zfp453373.html,,jindabyne,hostel,,,
Jindabyne NSW 2627,full kitchen | separate lounge/dining | BBQ facilities | free parking | free wifi | ski storage (property dependent) | mountain views (select properties),,https://www.airbnb.com.au/s/Jindabyne--NSW/homes?query=alpine+country+holidays,,,,https://alpinecountryholidays.com.au,,15:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,,yes,alpine-country-holidays-apartments,-36.416,148.612,"Alpine Country Holidays is a boutique local accommodation manager offering a handpicked selection of modern apartments, cosy chalets and spacious country homes across Jindabyne, Lake Crackenback and Thredbo surrounds. Properties range from studio apartments to large group homes sleeping 10+, all with full kitchens, lounge areas and high-quality furnishings. Guests report excellent locations within walking distance of Jindabyne's restaurants and bars.",,Alpine Country Holidays – Jindabyne Apartments,,Perisher,,,,,,$$$,snowy_mountains,,yes,"Curated portfolio of handpicked self-contained apartments and chalets in Jindabyne and surrounds, bookable through a local boutique agency.",yes,https://alpinecountryholidays.com.au,,jindabyne,apartment,,https://alpinecountryholidays.com.au,
"Kosciuszko Road, Jindabyne NSW 2627",full kitchen | lounge/dining | laundry | free parking | ski/snowboard rental packages,,https://www.airbnb.com.au/s/Jindabyne--NSW/homes,,,,https://snowaccommodation.com.au,,,,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,,yes,jindabyne-snowy-mountains-accommodation-centre,-36.4155,148.61,"The Jindabyne and Snowy Mountains Accommodation Centre manages a large portfolio of self-contained holiday homes, units and apartments across Jindabyne. The agency's point of difference is bundled ski/snowboard rental packages, allowing groups to book accommodation and gear hire together at a discounted rate. Properties suit couples through to large family groups, and the booking service is available online with phone support.",,Jindabyne & Snowy Mountains Accommodation Centre,,Perisher,,,,+61 2 6456 2174,,$$,snowy_mountains,,yes,"Local agency offering a wide range of self-contained Jindabyne units and homes, plus ski and snowboard rental packages.",yes,https://snowaccommodation.com.au,,jindabyne,apartment,,https://snowaccommodation.com.au,
Jindabyne NSW 2627,full kitchen | lounge/dining | ski storage | free parking | free wifi,,https://www.airbnb.com.au/s/Jindabyne--NSW/homes,,,,https://jindabyneskiaccommodation.com.au,,15:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,,yes,jindabyne-ski-accommodation-holiday-rentals,-36.4165,148.611,"Jindabyne Ski Accommodation is the Snowy Mountains' leading online holiday rental platform, listing over 50 self-contained properties ranging from affordable studio apartments to award-winning luxury chalets. All properties are fully equipped with kitchens and most include ski storage. The platform's high occupancy rates and regular repeat guests reflect consistent quality. Properties are spread across Jindabyne town, Crackenback and Thredbo approaches.",,Jindabyne Ski Accommodation – Holiday Rentals,,Perisher,,,,,,$$$,snowy_mountains,,yes,"Online rental platform offering 50+ self-contained ski apartments, townhouses and chalets across Jindabyne and the Snowy Mountains.",yes,https://jindabyneskiaccommodation.com.au,,jindabyne,apartment,,https://jindabyneskiaccommodation.com.au,
"Various, Jindabyne NSW 2627",full kitchen (most listings) | parking | free wifi | ski storage (select listings) | drying room (select listings) | BBQ facilities (select listings),,https://www.airbnb.com.au/s/Jindabyne--NSW/homes,https://www.booking.com/searchresults.html?ss=Jindabyne+NSW,,,https://www.airbnb.com.au/s/Jindabyne--NSW/homes,,,,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,,yes,snowy-valley-airbnb-vr-rentals,-36.416,148.612,"Jindabyne has a large inventory of privately listed Airbnb and VRBO properties, particularly popular during the July–August ski season when they often represent the best value for groups of 4–10. Options range from lakefront studios to 5-bedroom homes with hot tubs and mountain views. Booking well in advance (3+ months) is essential for peak dates. Many listings include ski storage, drying rooms and are within 5 minutes' drive of Thredbo or Perisher roads.",,Snowy Mountains Airbnb / Holiday Rentals (Jindabyne),,Perisher,,,,,,$$$,snowy_mountains,,yes,"Wide range of private Airbnb homes and holiday rentals in Jindabyne, from lakefront studios to large group homes with ski storage.",,https://www.airbnb.com.au/s/Jindabyne--NSW/homes,,jindabyne,airbnb,,https://www.airbnb.com.au/s/Jindabyne--NSW/homes,
"Various, Jindabyne NSW 2627",drying room | ski storage | communal kitchen | open fireplace | communal lounge | buffet dinner (some lodges) | laundry | free parking,,,,,,https://snowaccommodation.com.au,,,,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,jindabyne-ski-lodge-private,-36.416,148.612,"Beyond the commercially listed hotels, Jindabyne has a thriving network of private ski club lodges that open casual bookings in peak season. These typically offer bunk or twin rooms in a communal lodge setting with drying rooms, full kitchens, fireplaces and buffet dinners. They cater primarily to ski groups seeking an authentic lodge atmosphere at prices below commercial hotels. Booking is usually via direct contact with individual clubs or through snowaccommodation.com.au.",,Jindabyne Ski Lodge Accommodation Centre – Private Lodges,,Perisher,,,no,,,$,snowy_mountains,,yes,"Network of private ski club lodges in Jindabyne available for casual bookings, with drying rooms and communal ski-season facilities.",yes,https://snowaccommodation.com.au,,jindabyne,lodge,,https://snowaccommodation.com.au,
"1 Kosciuszko Road, Jindabyne NSW 2627",brewery on site (Kosciuszko Brewhouse) | restaurant (2) | bar (3) | lake views | loft apartment rooms | balcony | free wifi | free parking | flat screen TV | refrigerator | live music | continental breakfast included,https://www.agoda.com/search?q=Banjo+Paterson+Inn+Jindabyne+apartments,,https://www.booking.com/hotel/au/banjo-paterson.html,https://www.expedia.com.au/Hotel-Search?destination=Banjo+Paterson+Inn+Jindabyne,,https://www.banjopatersoninn.com.au,,14:00,10:00,AU,33,32,36,55,,,,,,28,,,,,,,32,,,,,,28,yes,yes,kosciuszko-brewhouse-accommodation,-36.4144,148.6119,"The Banjo Paterson Inn complex on Kosciuszko Road includes apartment-style accommodation with loft configurations, lake views and direct access to the Kosciuszko Brewhouse, Clancy's Brasserie and The Overflow. These are among the most social rooms in Jindabyne, favoured by groups who want to walk from bed to bar to slopes without needing a car. Quad loft rooms comfortably sleep 4–6 and include balconies and lake views. The vibrant pub atmosphere means this isn't the quietest option.",,Kosciuszko Brewing Accommodation (Banjo Paterson Complex),,Perisher,,,no,,,$$,snowy_mountains,40,no,"Self-contained apartment-style rooms in the Banjo Paterson Inn complex, with access to on-site brewery, restaurants and bars.",yes,https://www.banjopatersoninn.com.au | https://www.tripadvisor.com/Hotel_Review-g261617-d1509898-Reviews-Banjo_Paterson_Inn-Jindabyne_New_South_Wales.html,,jindabyne,apartment,,https://www.banjopatersoninn.com.au,
"Lot 3 Southern Cross Drive, Berridale NSW 2628",Restaurant (SnowGate Restaurant) | Bar/lounge | Hot tub/spa | Sauna | Fireplace in lobby | Ski hire on site | Free WiFi (public areas) | 24-hour front desk | Express check-in/out | Luggage storage | Smoke-free property | Flat-screen TV | Heating,,,,https://www.expedia.com.au/Berridale-Hotels-Snow-Gate-Motel-And-Apartments.h19287269.Hotel-Information,,https://snowgatemotel.com.au,,15:00,10:00,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,,yes,snowgate-motel-berridale,-36.3812,148.8235,"The Snowgate Motel is a family-run property offering bunk and family rooms designed for ski groups, plus self-contained apartments for longer stays. On-site facilities include the SnowGate Restaurant (breakfast and dinner, international menu), a bar, hot tub, and sauna — rare amenities in Berridale at this price point. Ski equipment hire is available on site, making it a practical one-stop shop for budget mountain trips.",,Snowgate Motel & Apartments,,Perisher,,,no,+61 2 6456 3111,,$$,snowy_mountains,,yes,"Affordable family motel with on-site restaurant, bar, sauna, and ski hire in the heart of Berridale.",yes,https://snowgatemotel.com.au | https://snowymountains.com.au/directory/snow-gate-motel | https://www.expedia.com.au/Berridale-Hotels-Snow-Gate-Motel-And-Apartments.h19287269.Hotel-Information | https://www.trivago.com.au/en-AU/oar/entire-house-apartment-snow-gate-motel-and-apartments-berridale?search=100-8176162,,berridale,motel,,https://snowgatemotel.com.au,
"3-5 William Street, Berridale NSW 2628",Drying room for ski gear | Licensed bar | Communal dining room | Open fireplace (dining room) | Games room with pool table | BBQ area | Seasonal outdoor pool | Free WiFi | Free off-street parking | Private bathroom (all rooms) | Flat-screen TV | Heating | Tea and coffee facilities | All linen and towels,,,,,,https://www.cottonwoodlodge.com.au,,14:00,10:00,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,yes,yes,cottonwood-lodge-berridale,-36.3805,148.823,"Cottonwood Lodge is a long-established, locally owned ski lodge purpose-built for winter accommodation. It offers a range of room types from double rooms to family rooms sleeping up to 8, all with private bathrooms, flat-screen TVs, and heating. Communal facilities include a dining room with open fireplace, a licensed bar, BBQ area, games room with pool table, drying room for wet ski gear, and a seasonal outdoor pool. One of the few Berridale properties with a confirmed drying room.",,Cottonwood Lodge,,Perisher,,,no,+61 2 6456 3374,,$$,snowy_mountains,,no,"Locally owned ski lodge with drying room, fireplace lounge, bar, and rooms for couples to large groups.",yes,https://www.cottonwoodlodge.com.au | https://www.tripadvisor.com/Hotel_Review-g528921-d505038-Reviews-Cottonwood_Lodge-Berridale_New_South_Wales.html,,berridale,lodge,,https://www.cottonwoodlodge.com.au,
"1-2 Oliver Street, Berridale NSW 2628",Buffet breakfast | Free parking | Free WiFi | Flat-screen TV with satellite | Refrigerator | Electric kettle | Hairdryer | Separate shower and toilet | Group booking services | Ski hire booking assistance | Lift ticket booking assistance,,,,,,https://www.smmotorinn.com.au,,,,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,,yes,snowy-mountains-motor-inn-berridale,-36.38,148.8228,"The Snowy Mountains Motor Inn is one of the larger properties in Berridale, with 41 rooms and capacity for up to 220 guests across its group-booking packages. The property primarily caters to school camps and sporting groups but accepts general public bookings. Rooms feature flat-screen TVs, kettles, and refrigerators; buffet breakfast is served each morning. Positioned on Jindabyne Road making it convenient for the Perisher and Thredbo runs.",,Snowy Mountains Motor Inn,,Perisher,,,no,+61 451 818 568,,$$,snowy_mountains,41,no,Large 41-room motel on Jindabyne Road specialising in group and school bookings with buffet breakfast included.,,https://www.smmotorinn.com.au | https://ie.hotels.com/ho2641264416/ | https://snowy-mountains-motor-inn.newsouthwaleshotels.net/en/,,berridale,motel,,https://www.smmotorinn.com.au,
"1 Middlingbank Road, Berridale NSW 2628",Restaurant (100-seat) | Bar/lounge | Open fireplace | Ski hire shop | Lift ticket booking service | Free WiFi | Free parking | Kitchenette (rooms) | Flat-screen TV | Fridge | Non-smoking rooms | Family rooms | Laundry services | Caravan/tourist park section,,,,,,,,15:00,10:00,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,,yes,southern-cross-motor-inn-berridale,-36.3793,148.8218,"The Southern Cross Motor Inn is the biggest single accommodation complex in Berridale, set on six acres with a 63-room motel plus caravan/tourist park. An on-site 100-seat restaurant, bar/lounge with open fire, ski hire shop, and lift ticket organising service make it a self-contained ski base. Rooms include standard and deluxe options, most with kitchenette, fridge, and flat-screen TV. Value ratings are consistently high in reviews despite the basic styling.",,Southern Cross Motor Inn & Tourist Park,,Perisher,,,,+61 2 6456 3289,,$,snowy_mountains,63,no,"Large budget motel on six acres with restaurant, bar, fireplace lounge, ski hire shop, and 63 rooms.",yes,https://www.tripadvisor.com/Hotel_Review-g528921-d1104595-Reviews-Southern_Cross_Motor_Inn_Tourist_Park-Berridale_New_South_Wales.html | https://www.hotelscombined.com/Hotel/Southern_Cross_Motor_Inn_Tourist_Park.htm | https://southern-cross-motor-inn.newsouthwaleshotels.net/en/,,berridale,motel,,,
"66 Jindabyne Road, Berridale NSW 2628",En-suite bathroom (all rooms) | Coffee/tea making | Flat-screen TV | Heating | Off-street parking | Restaurant (adjoining) | Public bar | Lounge bar (family-friendly) | Beer garden | Kids playroom | Pool table | ATM | TAB/Keno | Darts,,,,,,https://www.facebook.com/p/Berridale-Inn-100083099834437/,,14:00,12:00,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,,yes,berridale-inn-hotel-motel,-36.3808,148.8242,"The Berridale Inn is the town's main pub and only hotel-motel in a traditional Australian pub format. The 7 en-suite rooms sleep up to 7 each and have coffee-making facilities, TV, and heating. The adjoining restaurant and bar are open seven days, and the premises include a public bar with TAB and Keno, a family-friendly lounge bar with pool table, a beer garden, and a kids' playroom. Note: the pub has experienced temporary closures; verify current trading before booking.",,Berridale Inn Hotel Motel,,Perisher,,,no,+61 2 6456 3209,,$$,snowy_mountains,7,no,"Classic country pub hotel with 7 en-suite rooms, public bar, lounge bar, restaurant, and a kids playroom.",,https://www.tripadvisor.com/Hotel_Review-g528921-d10040541-Reviews-Berridale_Inn-Berridale_New_South_Wales.html | https://inn-motel-2628.newsouthwaleshotels.net/en/ | https://www.trip.com/hotels/berridale-hotel-detail-9279782/berridale-inn-hotel-motel/,,berridale,hotel,,https://www.facebook.com/p/Berridale-Inn-100083099834437/,
"1 William Street, Berridale NSW 2628","Continental breakfast (help-yourself, included) | Communal kitchen | Communal dining area | Communal lounge with fireplace | BBQ area | En suite bathroom (most rooms) | Shared bathroom (some lodge rooms) | Queen bed and bunks (most rooms) | All linen and towels | Reverse-cycle air-conditioning | Flat-screen TV | DVD | Microwave | Refrigerator | Tea and coffee | Parking at door",,,,,,,,,,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,,yes,snowdream-motel-berridale,-36.3805,148.8228,"The Snowdream Motel is a consistently well-reviewed budget option in central Berridale. The 40 rooms range from singles to family rooms sleeping up to 8, most with queen bed, bunks, and en suite. Communal facilities include a large kitchen, dining area, lounge with fireplace, and BBQ area. Help-yourself continental breakfast is included. The motel's value rating is one of the highest in Berridale at 4.5/5 on Tripadvisor.",,Snowdream Motel,,Perisher,,,,+61 422 678 773,,$,snowy_mountains,40,no,"Owner-operated budget motel in central Berridale with 40 rooms, communal kitchen, fireplace lounge, and help-yourself continental breakfast.",,https://www.tripadvisor.com/Hotel_Review-g528921-d1789041-Reviews-Snowdream_Motel-Berridale_New_South_Wales.html | https://www.accommodationaustralia.com.au/accommodation/cities/berridale/nsw,,berridale,motel,,,
"56 Oliver Street, Berridale NSW 2628",Breakfast included (B&B) | Communal lounge | TV (5 channels) | Games room with pool table | BBQ area | Self-contained 2BR unit (separate),,,,,,,,,,AU,57,55,75,65,,,,40,,,,,,,,,55,,,,,,40,,yes,sierra-villa-lodge-berridale,-36.38,148.8222,"Sierra Villa Lodge is a B&B-style lodge property on Oliver Street offering affordable ski-season accommodation in a quiet, residential setting. The property aims for a relaxed, homely atmosphere with a communal lounge area. Amenities include TV, games room with pool table, and BBQ area. Reviews note the friendly host environment and good value for families. A separate self-contained 2-bedroom unit also available.",,Sierra Villa Lodge,,Perisher,,,,+61 2 6456 3878,,$,snowy_mountains,,yes,"Bed-and-breakfast lodge in a quiet Berridale street offering relaxed, homely accommodation for families and groups.",,https://berridale-nsw.place-advisor.com/sierra-villa-lodge/ | https://www.accommodationaustralia.com.au/accommodation/cities/berridale/nsw | http://snow.com.au/store/accommodation/NSW/Berridale/Berridale.htm,,berridale,lodge,,,
