address,apres_ski,country,cuisine,english_menu,groceries,hours.closed,hours.dinner,hours.friday,hours.lunch,hours.monday,hours.morning,hours.note,hours.saturday,hours.sunday,hours.thursday,hours.tuesday,hours.wednesday,id,kid_friendly,last_order_time,lat,lng,long_description,name,name_local,notes,payment,phone,photos,price_band,region,reservation,reservation_link,short_description,signature_dishes,source_urls,takeaway,town,type,vegetarian_friendly,website
"Shop 19, Nuggets Crossing Shopping Centre, 5 Snowy River Avenue, Jindabyne NSW 2627",yes,AU,Japanese | izakaya | Asian,yes,no,,,17:30–21:00,,closed,,,17:30–21:00,closed,17:30–21:00,17:30–21:00,17:30–21:00,takayama-restaurant-bar,,20:45,-36.4148,148.6095,"Takayama brings Japanese izakaya mountain food to Jindabyne, inspired by the après-ski mountain hut culture of Japan. The menu features edamame, sushi rolls, pork gyoza, karaage chicken, katsu, tataki beef and ramen, complemented by Sapporo beer and yuzu cocktails. The sleek, modern interior seats intimate groups, and the team behind it also runs the town's other quality restaurants. Bookings are strongly recommended in peak ski season.",Takayama Restaurant & Bar,高山,,cards_accepted,+61 2 6456 1133,,$$,snowy_mountains,required,tel:+61264561133,Sleek Japanese izakaya-style restaurant in Nuggets Crossing open Tuesday–Saturday from 5:30pm – Sapporo on tap.,pork gyoza | karaage chicken | sushi rolls | ramen | Sapporo on tap | yuzu cocktail,https://www.takayama.com.au | https://www.tripadvisor.com/Restaurant_Review-g261617-d10031721-Reviews-Takayama_Restaurant_Bar-Jindabyne_New_South_Wales.html | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,no,jindabyne,restaurant,,https://www.takayama.com.au
"62 Kosciusko Road, Jindabyne NSW 2627",no,AU,modern Australian | Asian fusion | fine dining,yes,no,,,dinner only,,closed (off-season),,,dinner only,closed (off-season),dinner only,dinner only (off-season),dinner only (off-season),embers-fireside-restaurant,,21:00,-36.417,148.607,"Embers Fireside Restaurant at Horizons Lake Jindabyne is the only upscale dining experience in the Snowy Mountains base town. The menu blends modern Australian and Asian influences: karaage chicken, sesame duck, fillet mignon, chilli garlic prawn pasta. Operating Tuesday–Saturday during off-season (October–May) and expanding to full winter hours, the roaring fireplace and lake-view setting make it the destination for date nights and special occasions. Call 02 6456 2562 to book.",Embers Fireside Restaurant (Horizons Lake Jindabyne),,,cards_accepted,+61 2 6456 2562,,$$$,snowy_mountains,required,tel:+61264562562,"Jindabyne's only premium fine-dining restaurant – Asian-Modern Australian menu with roaring winter fireplace, reservations essential.",karaage chicken | sesame duck | fillet mignon | chilli garlic prawn pasta,https://www.horizonslakejindabyne.com.au/eat-drink/ | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,no,jindabyne,restaurant,,https://www.horizonslakejindabyne.com.au/eat-drink/
"Shop 15/33 Kosciuszko Road, Jindabyne NSW 2627",no,AU,Mexican | Tex-Mex,yes,no,,,17:30–20:30,,17:30–20:30,,,17:30–20:30,17:30–20:30,17:30–20:30,17:30–20:30,17:30–20:30,cocina-taqueria-jindabyne,,20:15,-36.4142,148.6113,"Cocina Taqueria occupies a cosy upstairs space at 33 Kosciuszko Road and has been reinvigorated under new ownership since November 2024. The menu features tacos, burritos, ceviche, jalapeño poppers and Oaxacan lamb barbacoa, alongside tequila, mezcal and margaritas. With outdoor seating and an upstairs dining area, it's a popular choice for groups. Dinner service runs 7 nights from 5:30pm to 8:30pm.",Cocina Taqueria,,,cards_accepted,+61 2 6457 2888,,$$,snowy_mountains,recommended,https://www.cocina.com.au,"Contemporary Mexican restaurant on Kosciuszko Road, under new ownership since 2024, open 7 nights from 5:30pm.",Oaxacan lamb barbacoa tacos | ceviche | jalapeño poppers | margaritas | mezcal selection,https://www.cocina.com.au | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,yes,jindabyne,restaurant,,https://www.cocina.com.au
"6 Thredbo Terrace, Jindabyne NSW 2627",yes,AU,bar food | American | pub food,yes,no,,,15:00–23:00,,15:00–22:00,,,15:00–23:00,15:00–22:00,15:00–22:00,15:00–22:00,15:00–22:00,holly-go-lightly,,21:30,-36.4152,148.6118,"Holly Go Lightly on Thredbo Terrace is the closest thing Jindabyne has to a proper night-life venue, with a beer garden, DJ sessions through winter and summer, and a menu that leans American-comfort: poutine, fried cheese balls, maple bacon burgers and beef cheeseburgers. The relaxed atmosphere makes it equally good for a quiet afternoon beer or a rowdy post-mountain session. Open from 3pm daily, until 11pm on weekends.",Holly Go Lightly,,,cards_accepted,,,$$,snowy_mountains,not_needed,,"Locals' favourite bar with beer garden, DJ nights, poutine and maple bacon burgers – open until 11pm Fri/Sat.",poutine | fried cheese balls | maple bacon burger | beef cheeseburger,https://www.tripadvisor.com.au/Restaurant_Review-g261617-d23896476-Reviews-Holly_Go_Lightly-Jindabyne_New_South_Wales.html | https://www.visitnsw.com/destinations/snowy-mountains/jindabyne-area/jindabyne/food-and-drink/holly-go-lightly | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,no,jindabyne,bar,,
"Level 1, Shop 14/33 Kosciuszko Road, Jindabyne NSW 2627",yes,AU,bar food | American | burgers | craft beer,yes,no,,,12:00–22:00,,12:00–22:00,,,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,12:00–22:00,jindabyne-emporium,,21:30,-36.4142,148.6113,"Jindabyne Emporium occupies a level-1 space on Kosciuszko Road with sweeping Lake Jindabyne views. The happy hour runs daily from 4pm to 6pm ($8 schooners and wines), making it the best-value apres-ski drink in town. The food menu covers burgers, tacos, pork belly nuggets and cheeseburger spring rolls, backed by an extensive independent Australian craft beer list, natural/lo-fi wines and Aussie spirits. The setting is casual and the lake view spectacular at sunset.",Jindabyne Emporium,,,cards_accepted,,,$$,snowy_mountains,not_needed,,"Lake-view bar and eatery with daily 4–6pm Happy Hour, craft burgers, tacos and the best craft beer and lo-fi wine selection in town.",cheeseburger spring rolls | pork belly nuggets | burgers | tacos | daily Happy Hour $8 schooners 4–6pm,https://www.jindabyneemporium.com | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,no,jindabyne,bar,,https://www.jindabyneemporium.com
"5 Nettin Circuit, Jindabyne NSW 2627",yes,AU,bar food | craft beer | share plates,yes,no,,,15:00–21:00,,closed,,,12:00–21:00,12:00–21:00,15:00–21:00,closed,15:00–21:00,jindabyne-brewing-co,,20:30,-36.4175,148.6094,"Jindabyne Brewing Co is the town's only dedicated craft brewery and taproom, located on Nettin Circuit a short drive from the main strip. Flagship beers include Alpine Red X (dark lager) and Hefe Weiss (German wheat beer). The small kitchen puts out meat skewers, house chips and aioli to complement the pints. The taproom opens from 3pm Wednesday–Friday and noon on weekends, making it an ideal first stop on a non-ski afternoon.",Jindabyne Brewing Co,,,cards_accepted,,,$$,snowy_mountains,not_needed,,"Independent craft brewery with taproom on Nettin Circuit, open from midday weekends – try the Alpine Red X dark lager.",Alpine Red X dark lager | Hefe Weiss wheat beer | meat skewers | house chips with aioli,https://www.jindabynebrewing.com.au | https://www.tripadvisor.com/Attraction_Review-g261617-d12542601-Reviews-Jindabyne_Brewing-Jindabyne_New_South_Wales.html,no,jindabyne,bar,,https://www.jindabynebrewing.com.au
"16 Nettin Circuit, Jindabyne NSW 2627",no,AU,Thai | Asian,yes,no,,,17:00–21:30,,17:00–21:30,,,17:00–21:30,17:00–21:30,17:00–21:30,17:00–21:30,17:00–21:30,panorama-thai,,21:00,-36.4168,148.6095,"Panorama Thai on Nettin Circuit offers a reliable, warming Thai menu every evening from 5pm, making it one of the most convenient dinner options in Jindabyne. Standout dishes include massaman beef, chilli basil eggplant and the spicy pad kee mao. The relaxed setting and reasonable prices make it popular with families and ski groups. The same lakeside panorama views as the Panorama Jindabyne motel next door.",Panorama Thai,,,cards_accepted,+61 2 6456 2918,,$$,snowy_mountains,recommended,tel:+61264562918,Thai restaurant on Nettin Circuit open 7 nights from 5pm – go-to for warming massaman curry after a cold day on the mountain.,massaman beef curry | chilli basil eggplant | pad kee mao (spicy) | Thai iced tea,https://www.tripadvisor.com.au/Restaurant_Review-g261617-d11903505-Reviews-Panorama-Jindabyne_New_South_Wales.html | https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,yes,jindabyne,restaurant,,
"Level 3, Shop 5/3 Kosciuszko Road, Jindabyne NSW 2627",no,AU,Mexican | Tex-Mex,yes,no,,,,,,,,,,,,,beach-burrito-co-jindabyne,,,-36.4142,148.6113,"Beach Burrito Co occupies a level-3 perch on Kosciuszko Road with spectacular Lake Jindabyne views. The menu is reliably casual Mexican – tacos, quesadillas, burritos – with a strong cocktail list of tequilas, margaritas and sangria. The kids' menu includes a DIY taco kit, making it one of the most family-friendly dinner options in town. BYO is not permitted.",Beach Burrito Co,,,cards_accepted,,,$$,snowy_mountains,not_needed,,"Casual Mexican chain with lake views, kids' DIY taco kits, tequila and margaritas – great for families.",tacos | burritos | quesadillas | margaritas | kids' DIY taco kit,https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,yes,jindabyne,restaurant,,
"1 Snowy River Avenue, Jindabyne NSW 2627",no,AU,cafe | Mexican-inspired | modern Australian,yes,no,,,,,,,,,,,,,bebita-jindabyne,,,-36.4148,148.6095,"Bebita is tucked into a quiet spot on Snowy River Avenue, offering a relaxed alternative to the main strip. The menu covers coffee, fresh juices, salads, nachos, burrito bowls and tacos, with house-baked cheesecakes (mint choc, caramilk, Kit Kat) as the standout desserts. BYO wine and beer are welcome, and an outdoor terrace makes it a pleasant lunch spot in fine weather.",Bebita,,,cards_accepted,,,$$,snowy_mountains,not_needed,,"Wholesome fresh food cafe in Jindabyne's backstreets serving brunch, nachos, burrito bowls and spectacular cheesecakes.",mint choc cheesecake | caramilk cheesecake | burrito bowl | nachos,https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,no,jindabyne,cafe,,
"1 Kosciuszko Road, Jindabyne NSW 2627",no,AU,Italian | pizza,yes,no,,,,,,,,,,,,,stacks-pizza-jindabyne,,,-36.4144,148.6119,"Stacks Pizza at 1 Kosciuszko Road (inside the Banjo Paterson Inn precinct) is Jindabyne's most accessible pizzeria, offering dine-in, takeaway and by-the-slice options. The menu covers all the classics – ham and pineapple, supreme, meat lovers, chorizo and boscaiola – with the Pontiac potato pizza standing out as the local favourite. BYO wine only.",Stacks Pizza,,,cards_accepted,,,$,snowy_mountains,not_accepted,,"Casual BYO pizzeria serving dine-in, takeaway and by-the-slice pizza – Pontiac potato pizza is the local favourite.",Pontiac potato pizza | meat lovers pizza | boscaiola pizza | by-the-slice,https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,yes,jindabyne,restaurant,,
"Shop 18B, Nuggets Crossing Shopping Centre, Snowy River Avenue, Jindabyne NSW 2627",yes,AU,bar | wine bar | share plates,yes,no,,,,,,,,,,,,,pinots-wine-bar,,,-36.4148,148.6095,"Pinot's Wine Bar in Nuggets Crossing is Jindabyne's most intimate small bar, offering a carefully curated wine list, craft beers and cocktails alongside sophisticated bar snacks: toasted brioche with ricotta and white anchovies, pumpkin and truffle arancini balls, and a cheese board. The small, cosy space fills quickly in ski season, making it the top recommendation for couples seeking a relaxed but upscale evening out.",Pinot's Wine Bar,,,cards_accepted,,,$$,snowy_mountains,recommended,,"Best date-night spot in Jindabyne – intimate wine bar with artisan snacks, craft beer, cocktails and a curated wine list.",toasted brioche with ricotta and white anchovies | pumpkin and truffle arancini | cheese board,https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,no,jindabyne,bar,,
"2 Bay Street, Jindabyne NSW 2627",yes,AU,pub food | Australian,yes,no,,,,,,,,,,,,,jindabyne-bowling-club,,,-36.4135,148.6148,"The Jindabyne Bowling Club on Bay Street punches well above its weight as a family dining destination. The bistro menu covers burgers, prawn cutlets, chicken parmi and steak sandwiches at bowlo prices. An indoor playground keeps children occupied, Thursday trivia nights draw a local crowd, and the courtesy bus means you don't need to drive. A reliable, genuinely affordable option for large groups and families.",Jindabyne Bowling Club,,,cards_accepted,,,$,snowy_mountains,not_needed,,"Family-friendly bowling club bistro with indoor playground, Thursday trivia and courtesy bus – best-value family dinner in town.",chicken parmi | prawn cutlets | steak sandwich | burger,https://www.australiantraveller.com/nsw/snowy-mountains/jindabyne/jindabyne-restaurants/,no,jindabyne,pub,,
"Shop 1, Nuggets Crossing Shopping Centre, 6 Kosciuszko Road, Jindabyne NSW 2627",no,AU,groceries | supermarket,yes,yes,,,07:00–21:00,,07:00–21:00,,,07:00–21:00,07:00–21:00,07:00–21:00,07:00–21:00,07:00–21:00,woolworths-jindabyne,,20:55,-36.4148,148.61,"Woolworths in Nuggets Crossing Shopping Centre is the main supermarket in Jindabyne, stocking all grocery staples, fresh produce, deli items, pre-made meals, ski snacks, wine and beer. Open 7am–9pm every day of the year (closed Christmas Day), it's the essential first stop for self-contained accommodation guests. The extensive ready-meal range is popular for easy weeknight ski dinners. The BWS bottle shop is co-located.",Woolworths Jindabyne,,,cards_accepted,+61 2 6448 8000,,$,snowy_mountains,not_needed,,Full-size Woolworths supermarket open 7am–9pm every day – the primary grocery stop for self-catering ski accommodation.,,http://www.nuggetscrossing.com.au/woolworths/ | https://www.woolworths.com.au/shop/storelocator/nsw-jindabyne-1401,yes,jindabyne,restaurant,,https://www.woolworths.com.au/shop/storelocator/nsw-jindabyne-1401
"Shop 1, Nuggets Crossing Shopping Centre, Kosciuszko Road, Jindabyne NSW 2627",no,AU,bottle shop | liquor,yes,yes,,,09:00–20:00,,09:00–20:00,,,09:00–20:00,10:00–20:00,09:00–20:00,09:00–20:00,09:00–20:00,bws-jindabyne,,19:55,-36.4148,148.61,"BWS Jindabyne is the main bottle shop in town, co-located with Woolworths in Nuggets Crossing Shopping Centre. It stocks a wide range of beer (including local craft), wine, spirits and RTDs. Open 9am–8pm Monday–Saturday and 10am–8pm Sunday (closed Christmas Day). For BYO restaurants like Cafe Darya and Bacco, an ATM and BWS trip should be planned before the dinner booking.",BWS – Beer Wine Spirits (Nuggets Crossing),,,cards_accepted,+61 2 6448 8003,,$,snowy_mountains,not_needed,,Bottle shop inside Nuggets Crossing Shopping Centre open 7 days – the primary liquor stop for Jindabyne self-catering guests.,,http://www.nuggetscrossing.com.au/bws/ | https://www.shopfully.com.au/stores/bws/48485/shop-1-nuggets-crossing-jindabyne-nsw-2627,yes,jindabyne,bar,,https://store.bws.com.au/storelocator/nsw-jindabyne-6448
