"prefecture","canonical_name","normalized_identity","coverage_disposition","source_membership","source_original_names","source_urls","retrieval_dates","operating_evidence_status","operating_evidence_url","operating_evidence_as_of","feelzlike_urls","exceptions"
"Akita","Gojome Koiji","gojomekoiji","unresolved","japan-ski-resorts-558","Gojome Koiji","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx","2026-07-13","unclear","","2026-08-26","",""
"Akita","Gosannen Ski Area","gosannenskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Gosannen Ski Area | Gosannen Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Akita","Hanawa Ski Area","hanawakazuno","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Hanawa – Kazuno | Hanawa – Kazuno | Hanawa Ski Area | Hanawa Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/hanawa-kazuno/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://aomorikokuspo2026.pref.aomori.lg.jp/wp/wp-content/uploads/2025/08/R8.1.13_%E3%80%8C%E4%BF%AE%E6%AD%A3%E7%89%88%E3%80%8D_%E7%AC%AC80%E5%9B%9E%E3%81%82%E3%81%8A%E3%82%82%E3%82%8A%E5%9B%BD%E3%82%B9%E3%83%9D%E8%A6%81%E9%A0%85%EF%BC%88%E5%AE%9F%E6%96%BD%E8%A6%81%E9%A0%85.pdf","2026-08-26","/akita-regional/mountain/hanawa-ski-area",""
"Akita","Jeunesse Kurikoma Ski Area","jeunessekurikoma","published_directly","japan-ski-resorts-558 | skiresort-japan-directory","Jeunesse Kurikoma | Jeunesse Kurikoma","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/jeunesse-kurikoma/","2026-07-13 | 2026-08-24","verified_operating","http://www.jeunesse-ski.com/","2026-08-26","/akita-regional/mountain/jeunesse-kurikoma-ski-area",""
"Akita","Jeunesse Kurikoma Ski Slope","jeunessekurikomaskislope","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Jeunesse Kurikoma Ski Slope | Jeunesse Kurikoma Ski Slope","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Akita","Kyowa Ski Area","kyowa","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Kyowa | Kyowa | Kyōwa Ski Area | Kyōwa Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/kyowa/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://kyowasnow.net/ski/","2026-08-26","/akita-regional/mountain/kyowa-ski-area",""
"Akita","Moriyoshiyama Moriyoshi","moriyoshiyamamoriyoshi","unresolved","japan-ski-resorts-558","Moriyoshiyama Moriyoshi","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx","2026-07-13","unclear","","2026-08-26","",""
"Akita","Ohdai Ski Area","ohdai","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Ohdai | Ohdai | Ohdai ski Resort | Ohdai ski Resort","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/ohdai/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://ohdai.omagari-sc.com/","2026-08-26","/akita-regional/mountain/ohdai-ski-area",""
"Akita","Omagari","omagari","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Omagari | Omagari","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/omagari/","2026-07-13 | 2026-08-24","unclear","","2026-08-26","",""
"Akita","Ōmagari Family Ski Area","omagarifamilyskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Ōmagari Family Ski Area | Ōmagari Family Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Akita","Oyasu Onsen","oyasuonsen","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Oyasu Onsen | Oyasu Onsen","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/oyasu-onsen/","2026-07-13 | 2026-08-24","unclear","","2026-08-26","",""
"Akita","Suishozan Ski Area","suishozankazuno","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Suishozan – Kazuno | Suishozan – Kazuno | Suishōzan Ski Area | Suishōzan Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/suishozan-kazuno/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.suisyozan-ski-area.com/","2026-08-26","/akita-regional/mountain/suishozan-ski-area",""
"Akita","Taiheizan Ski Area Opas","taiheizanopus","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Taiheizan Opus | Taiheizan Opus | Taiheizan Ski Area Opas | Taiheizan Ski Area Opas","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/taiheizan-opus/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","http://www.theboon.net/opas/","2026-08-26","/akita-regional/mountain/taiheizan-ski-area-opas",""
"Akita","Tazawako Ski Resort","akitakentazawako","published_directly","japan-ski-resorts-558 | skiresort-japan-directory","Akitaken – Tazawako | Akitaken – Tazawako","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/akitaken-tazawako/","2026-07-13 | 2026-08-24","verified_operating","https://www.tazawako-ski.com/post-5412/","2026-08-26","/akita-regional/mountain/tazawako-ski-resort",""
"Akita","Tengamori Ski Area","tengamori","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Tengamori | Tengamori | Tengamori Ski Area | Tengamori Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/tengamori/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.city.yokote.lg.jp/shisetsu/1001526/1002628.html","2026-08-26","/akita-regional/mountain/tengamori-ski-area",""
"Akita","Yokote Park","yokotepark","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Yokote Park | Yokote Park","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/yokote-park/","2026-07-13 | 2026-08-24","unclear","","2026-08-26","",""
"Aomori","Ajigasawa Ōtakayama Ski Resort","ajigasawaotakayamaskiresort","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Ajigasawa Ōtakayama Ski Resort | Ajigasawa Ōtakayama Ski Resort","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Aomori","Aomori Spring Ski Resort","aomorispring","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Aomori Spring | Aomori Spring | Aomori Spring Ski Resort | Aomori Spring Ski Resort","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/aomori-spring/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://aomorispring.com/ski/lift-course-status","2026-08-26","/hakkoda-aomori-spring/mountain/aomori-spring",""
"Aomori","Hakkoda Kokusai Ski Area","hakkoda","covered_by_multiple_pages","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Hakkoda | Hakkoda | Hakkōda Ski Area | Hakkōda Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/hakkoda/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.hakkouda-p.com/cn21/pg110.html","2026-08-26","/hakkoda-aomori-spring/mountain/hakkoda | /hakkoda-aomori-spring/mountain/hakkoda-kokusai-ski-area","Legacy duplicate public routes for the same resort are preserved because existing public URLs must remain unchanged."
"Aomori","Imabetsu Ski Area","imabetsuskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Imabetsu Ski Area | Imabetsu Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Aomori","Iwakisan Hyakuzawa Ski Area","iwakisanhyakuzawa","published_directly","japan-ski-resorts-558 | skiresort-japan-directory","Iwakisan Hyakuzawa | Iwakisan Hyakuzawa","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/iwakisan-hyakuzawa/","2026-07-13 | 2026-08-24","verified_operating","https://www.hyakuzawa-ski.com/","2026-08-26","/aomori-regional/mountain/iwakisan-hyakuzawa-ski-area",""
"Aomori","Iwakiyama","iwakiyama","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Iwakiyama | Iwakiyama","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/iwakiyama/","2026-07-13 | 2026-08-24","unclear","","2026-08-26","",""
"Aomori","Iwakiyama Hyakuzawa Ski Area","iwakiyamahyakuzawaskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Iwakiyama Hyakuzawa Ski Area | Iwakiyama Hyakuzawa Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Aomori","Iwakiyama Skyline Ski Area","iwakiyamaskylineskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Iwakiyama Skyline Ski Area | Iwakiyama Skyline Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Aomori","Kamafuseyama Ski Area","mutsushikamafuseyama","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Mutsushi Kamafuseyama | Mutsushi Kamafuseyama | Kamafuseyama Ski Area | Kamafuseyama Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/mutsushi-kamafuseyama/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://kamafuse-ski.mutsu-taikyo.jp/","2026-08-26","/aomori-regional/mountain/kamafuseyama-ski-area",""
"Aomori","Link Station Hills Moya","moyahills","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Moya Hills | Moya Hills | Moya Hills | Moya Hills","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/moya-hills/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","http://moyahills.jp/winter/winter.html","2026-08-26","/aomori-regional/mountain/link-station-hills-moya",""
"Aomori","Makado Onsen","makadoonsen","unresolved","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Makado Onsen | Makado Onsen (temporarily closed) | Makado Onsen Ski Area | Makado Onsen Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/makado-onsen/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","unresolved","","","",""
"Aomori","Oirase Keiryu Onsen Ski Area","oirasekeiryuonsen","published_directly","japan-ski-resorts-558 | skiresort-japan-directory","Oirase Keiryu Onsen | Oirase Keiryu Onsen","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/oirase-keiryu-onsen/","2026-07-13 | 2026-08-24","verified_operating","https://oirase.or.jp/ski/ski.htm","2026-08-26","/aomori-regional/mountain/oirase-keiryu-onsen-ski-area",""
"Aomori","Owani Onsen Ski Area","owanionsen","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Owani Onsen | Owani Onsen | Ōwani Onsen Ski Area | Ōwani Onsen Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/owani-onsen/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.owani-ski.com/news2_list/","2026-08-26","/aomori-regional/mountain/owani-onsen-ski-area",""
"Aomori","Shichinohe Town Ski Area","shichinohechoei","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Shichinohechoei | Shichinohechoei | Shichinohe Town Ski Area | Shichinohe Town Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/shichinohechoei/ | https://en.wikipedia.org/wiki/Shichinohe,_Aomori | https://en.wikipedia.org/wiki/Shichinohe,_Aomori","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.shichinohe-kankou.jp/category/ski-news/ski-news_572.html","2026-08-26","/aomori-regional/mountain/shichinohe-town-ski-area",""
"Aomori","Soma Romantopia","somaromantopia","unresolved","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Soma Romantopia | Soma Romantopia | Sōma Romantopia Ski Area | Sōma Romantopia Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/soma-romantopia/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","unclear","","2026-08-26","",""
"Aomori","Soyumura 229 Ski Land","soyumuraskiland","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Soyumura Skiland | Soyumura Skiland","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/soyumura-skiland/","2026-07-13 | 2026-08-24","verified_operating","https://www.town.takko.lg.jp/index.cfm/11,0,37,164,html","2026-08-26","",""
"Aomori","Takko 229 Ski Land","takko229skiland","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Takko 229 Ski Land | Takko 229 Ski Land","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Aomori","Tohoh","tohoh","unresolved","japan-ski-resorts-558 | skiresort-japan-directory","Tohoh | Tohoh","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/tohoh/","2026-07-13 | 2026-08-24","unclear","","2026-08-26","",""
"Aomori","Tōō Ski Area","tooskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Tōō Ski Area | Tōō Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Aomori","Towadako Onsen Ski Area","towadakoonsenskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Towadako Onsen Ski Area | Towadako Onsen Ski Area","https://en.wikipedia.org/wiki/Lake_Towada | https://en.wikipedia.org/wiki/Lake_Towada","2026-08-26 | 2026-08-26","unresolved","","","",""
"Aomori","Yagoshiyama Skiing Area","yagoshiyamaskiingarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Yagoshiyama Skiing Area | Yagoshiyama Skiing Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Aomori","Yogoshiyama Ski Area","yogoshiyama","published_directly","japan-ski-resorts-558 | skiresort-japan-directory","Yogoshiyama | Yogoshiyama","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/yogoshiyama/","2026-07-13 | 2026-08-24","verified_operating","https://start-yogoshiyama.purea-web.net/ski.html","2026-08-26","/aomori-regional/mountain/yogoshiyama-ski-area",""
"Chiba","Snova Kashi","snovakashi","out_of_scope","japan-ski-resorts-558 | skiresort-japan-directory","Snova Kashi | Snova Kashi (indoor ski area)","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/snova-kashi/","2026-07-13 | 2026-08-24","unresolved","","","",""
"Ehime","Across Shigenobu","acrossshigenobu","out_of_scope","japan-ski-resorts-558 | wikipedia-japan-specific | wikipedia-worldwide-japan","Across Shigenobu | Across Shigenobu (Indoor) | Across Shigenobu (Indoor)","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-26 | 2026-08-26","unresolved","","","",""
"Ehime","Ishizuchi Ski Area","ishizuchi","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Ishizuchi | Ishizuchi | Ishizuchi Ski Area | Ishizuchi Ski Area","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/ishizuchi/ | https://en.wikipedia.org/wiki/Mount_Ishizuchi | https://en.wikipedia.org/wiki/Mount_Ishizuchi","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://www.ishizuchi.com/ski/snow/9620.html","2026-08-26","/shikoku-kyushu-ski-areas/mountain/ishizuchi-ski-area",""
"Ehime","Kuma Ski Land","kumaskiland","published_directly","japan-ski-resorts-558 | skiresort-japan-directory | wikipedia-japan-specific | wikipedia-worldwide-japan","Kuma Ski Land | Kuma Ski Land | Kuma Ski Land | Kuma Ski Land","attached_assets/Japan_Ski_Resorts_558_1783900482697.xlsx | https://www.skiresort.com/en/ski-resort/kuma-ski-land/ | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-07-13 | 2026-08-24 | 2026-08-26 | 2026-08-26","verified_operating","https://kumax.co.jp/","2026-08-26","/shikoku-kyushu-ski-areas/mountain/kuma-ski-land",""
"Ehime","Mikawa Ski Area","mikawaskiarea","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Mikawa Ski Area | Mikawa Ski Area","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
"Ehime","Salega Land Plana","salegalandplana","unresolved","wikipedia-japan-specific | wikipedia-worldwide-japan","Salega Land Plana | Salega Land Plana","https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan | https://en.wikipedia.org/wiki/List_of_ski_areas_and_resorts_in_Japan","2026-08-26 | 2026-08-26","unresolved","","","",""
